snr_db,zf_beta_mean,zf_beta_std,zf_beta_infeas,zf_random_mean,zf_random_std,zf_random_infeas,wmmse_alpha_beta_mean,wmmse_alpha_beta_std,wmmse_alpha_beta_infeas,mrt_single_mean,mrt_single_std,mrt_single_infeas
0.000000000000000000e+00,1.289842128944397018e+03,5.927088636495872151e+02,0.000000000000000000e+00,1.909888728583157160e+02,1.659735176201595834e+02,0.000000000000000000e+00,1.299270239616394065e+03,5.809119273313438043e+02,0.000000000000000000e+00,1.117779576683044525e+03,6.325605729514686573e+02,0.000000000000000000e+00
5.000000000000000000e+00,1.471360972610473709e+03,6.165824529805485099e+02,0.000000000000000000e+00,2.087765020931735762e+02,1.747617400185147005e+02,0.000000000000000000e+00,1.478600196472167909e+03,6.312039947003700036e+02,0.000000000000000000e+00,1.286847619857788004e+03,6.565591976020862148e+02,0.000000000000000000e+00
1.000000000000000000e+01,1.620209017486572293e+03,6.324556150213048795e+02,0.000000000000000000e+00,2.398823193106651388e+02,1.937260112434494772e+02,0.000000000000000000e+00,1.574916454681396544e+03,6.430701130245639661e+02,0.000000000000000000e+00,1.351178214202880781e+03,6.984031489287743852e+02,0.000000000000000000e+00
1.500000000000000000e+01,1.786020585449218743e+03,6.671632964218317738e+02,0.000000000000000000e+00,2.695945654668807947e+02,1.943155792815273628e+02,0.000000000000000000e+00,1.747170316452026327e+03,6.513529760413714484e+02,0.000000000000000000e+00,1.526427493927001933e+03,7.383258012028925350e+02,0.000000000000000000e+00
2.000000000000000000e+01,1.967054096801757851e+03,6.988819288956490254e+02,0.000000000000000000e+00,2.816840039063691847e+02,2.155688367589455368e+02,0.000000000000000000e+00,1.925968686218261610e+03,6.698033113878250333e+02,0.000000000000000000e+00,1.634004039520263632e+03,7.493326421749233077e+02,0.000000000000000000e+00
2.500000000000000000e+01,2.091263222564697116e+03,7.362775488201921235e+02,0.000000000000000000e+00,3.146545209937095819e+02,2.371366944402370791e+02,0.000000000000000000e+00,2.109891034973144542e+03,6.964466020348164648e+02,0.000000000000000000e+00,1.754163298645019495e+03,8.236926148408467725e+02,0.000000000000000000e+00
3.000000000000000000e+01,2.269389805541992246e+03,7.512978215270745750e+02,0.000000000000000000e+00,3.385308641614914222e+02,2.491058880285583825e+02,0.000000000000000000e+00,2.219218157714843528e+03,7.062940633843907108e+02,0.000000000000000000e+00,1.904265869842529355e+03,8.580200126062209165e+02,0.000000000000000000e+00
